,FIPS,Pop2010,LAPOP05_10,TractWhite,TractBlack,TractAsian,TractAIAN,TractHispanic,lawhite,lablack,laaian,laasian,lahisp,total_est,aian_est,asian_est,black_est,hisp_est,nhwhite_est,Fast Food,Restaurant,Grocery,Convenience,Market,metric,white_metric,black_metric,aian_metric,asian_metric,hisp_metric,AREA,la
211,06053,415057,168829.0,230717.0,12785.0,25258.0,5464.0,230003.0,0.42377891529449496,0.6300351974970668,0.49366537334705834,0.3779282576866764,0.34724329682656313,13.934287,42.690418,8.3999996,13.476898,19.106558,7.0898757,264,380,112,123,12.0,1.529446664424502,4.88180055209998,1.428085987176854,1.795282871667711,1.9485075920581896,0.664328328306127,8496.72,0.406760999091691
212,06055,136484,58936.0,97525.0,2668.0,9223.0,1058.0,44010.0,0.4410971545757498,0.5048725637181409,0.4418302070909682,0.4272211720226843,0.38323108384458077,9.9556351,26.25448,7.4109836,13.892264,14.053101,7.9940615,82,150,40,44,6.0,1.2599291796889271,3.3940319518378517,1.0965687669778428,1.7988985903351025,1.7595563669802048,0.897855529722234,1938.24,0.43181618358195833
213,06057,98764,44744.0,90233.0,389.0,1187.0,1044.0,8439.0,0.45069985482029856,0.39331619537275064,0.45577085088458297,0.421455938697318,0.5153454200734685,8.9909363,18.48506,5.9467921,0.0,13.623004,8.3554392,65,96,25,36,9.0,1.0310563330063462,2.108869086495208,0.5920602758709475,0.0,1.4533372328726353,1.0899561896091505,2480.61,0.4530395690737516
214,06059,3010232,1326140.0,1830758.0,50744.0,537804.0,18132.0,1012973.0,0.481032992891469,0.40521046823269746,0.4143293839391302,0.3879880873593647,0.33653019379588595,10.147735,14.910505,10.628448,11.484928,16.541742,5.4160037,3025,2791,496,657,23.0,0.7366144471285555,1.1818134427691664,0.7096304078126772,0.7840715927680432,1.057502353547948,0.3003203049735292,2047.57,0.44054411752981165
215,06061,348432,218518.0,290977.0,4751.0,20435.0,3011.0,44710.0,0.6247469731284603,0.6531256577562619,0.6754098360655738,0.603786117568914,0.5944307761127265,6.5995851,7.1117072,5.2524323,11.103649,9.3633871,6.0174398,334,328,64,132,19.0,0.7602348193187514,0.8160935936035042,0.6301140287014254,1.3775109061523023,1.0384319501132118,0.6570145402076705,3644.14,0.6271467603434816
216,06063,20007,1261.0,17797.0,192.0,134.0,539.0,1605.0,0.06557284935663314,0.010416666666666666,0.07462686567164178,0.03525046382189239,0.048598130841121495,12.076911,20.43919,17.277487,0.0,11.694058,12.054241,9,40,9,16,1.0,0.3424124267032855,0.6029041506260021,0.08095988435297645,0.0,0.185434533720248,0.26352387823140405,6612.35,0.06302794022092267
217,06065,2189641,1335012.0,1335147.0,140543.0,130468.0,23710.0,995257.0,0.6250712468364907,0.6140611770063256,0.6547122666094368,0.5639814424293547,0.5668314817177874,13.40979,18.530447,11.2312,16.41028,18.511742,7.8941941,1541,1211,349,456,22.0,1.3031269913150045,1.8461540107003391,1.0992344032773007,1.712454257779669,1.6640432633975082,0.713204827090886,18664.71,0.6096944658964643
218,06067,1418788,792695.0,815151.0,147058.0,203211.0,14308.0,306196.0,0.56473217845528,0.5426294387248569,0.6004546997947946,0.5009784735812133,0.5093600177663979,13.937968,18.415335,15.194136,23.255865,20.322014,9.1726408,1075,981,275,384,27.0,1.5093962358216888,2.015753142239563,1.5980653978163148,2.7066240306422804,1.97333581711955,0.9055958552190434,2498.41,0.558712788661872
219,06069,55269,22896.0,35181.0,483.0,1443.0,895.0,31186.0,0.4319661180750974,0.422360248447205,0.49965349965349964,0.3865921787709497,0.3769319566472135,11.674668,28.707483,20.558571,47.81955,14.953587,6.3578649,28,36,9,12,1.0,0.7875596391492644,2.019322584467815,1.4139591524636874,3.8907678732055873,0.9413678193732211,0.39024303156743867,3596.75,0.4142647777234978
220,06071,2035210,1191886.0,1153161.0,181862.0,128603.0,22689.0,1001145.0,0.5939439505845238,0.5732368499191695,0.5915725138604854,0.5775045176076513,0.5700742649666133,14.838541,23.114355,9.6513262,20.883877,18.02413,9.9998827,1526,1101,309,481,22.0,1.3193679901472213,2.084378063732568,0.8399827098849642,1.8757215389848418,1.5803706245511804,0.8655169815429611,51947.27,0.5856329322281238
