Label,Type,Symbol,Description,Name on GPS,Comment,Latitude,Longitude,Elevation,Distance to Active Point,Bearing
,,City (Small),,,,44.8053909,-72.2116989,,0000.0000,0000.0000
,,City (Small),,,,44.7507909,-72.1796989,,0000.0000,0000.0000
,,City (Small),,,,44.7489909,-72.1786989,,0000.0000,0000.0000
,,City (Small),,,,44.7654909,-72.1689989,,0000.0000,0000.0000
,,City (Small),,,,44.7865909,-72.1877989,,0000.0000,0000.0000
,,City (Small),,,,44.7463909,-72.1753989,,0000.0000,0000.0000
,,City (Small),,,,44.7499909,-72.1803989,,0000.0000,0000.0000
,,City (Small),,,,44.7499909,-72.1804989,,0000.0000,0000.0000
,,City (Small),,,,44.7489909,-72.1800989,,0000.0000,0000.0000
,,City (Small),,,,44.8984909,-72.0594989,,0000.0000,0000.0000
,,City (Small),,,,44.8979909,-72.0580989,,0000.0000,0000.0000
,,City (Small),,,,44.8520909,-72.0537989,,0000.0000,0000.0000
,,City (Small),,,,44.8430909,-72.0197989,,0000.0000,0000.0000
,,City (Small),,,,44.8377909,-71.9898989,,0000.0000,0000.0000
,,City (Small),,,,44.8884909,-72.2244989,,0000.0000,0000.0000
,,City (Small),,,,44.8626909,-72.2648988,,0000.0000,0000.0000
,,City (Small),,,,44.8597909,-72.2679988,,0000.0000,0000.0000
,,City (Small),,,,44.6239910,-72.3609988,,0000.0000,0000.0000
,,City (Small),,,,44.6348910,-72.3715988,,0000.0000,0000.0000
,,City (Small),,,,44.6504909,-72.3812988,,0000.0000,0000.0000
,,City (Small),,,,44.6345910,-72.3719988,,0000.0000,0000.0000
,,City (Small),,,,44.6541909,-72.3819988,,0000.0000,0000.0000
,,City (Small),,,,44.6382910,-72.4189988,,0000.0000,0000.0000
,,City (Small),,,,44.6407909,-72.3415988,,0000.0000,0000.0000
,,City (Small),,,,44.6357910,-72.3726988,,0000.0000,0000.0000
,,City (Small),,,,44.6311910,-72.3735988,,0000.0000,0000.0000
,,City (Small),,,,44.6664909,-72.3748988,,0000.0000,0000.0000
,,City (Small),,,,44.6304910,-72.3669988,,0000.0000,0000.0000
,,City (Small),,,,44.6847909,-72.4031988,,0000.0000,0000.0000
,,City (Small),,,,44.6526909,-72.3831988,,0000.0000,0000.0000
,,City (Small),,,,44.6803909,-72.3635988,,0000.0000,0000.0000
,,City (Small),,,,44.6803909,-72.3634988,,0000.0000,0000.0000
,,City (Small),,,,44.5459910,-72.2639989,,0000.0000,0000.0000
,,City (Small),,,,44.9322909,-72.1162989,,0000.0000,0000.0000
,,City (Small),,,,44.9221909,-72.0823989,,0000.0000,0000.0000
,,City (Small),,,,44.9379909,-72.0952989,,0000.0000,0000.0000
,,City (Small),,,,44.9703909,-72.1206989,,0000.0000,0000.0000
,,City (Small),,,,44.9884909,-72.0748989,,0000.0000,0000.0000
,,City (Small),,,,44.9576909,-72.1275989,,0000.0000,0000.0000
,,City (Small),,,,44.9559909,-72.1301989,,0000.0000,0000.0000
,,City (Small),,,,44.9559909,-72.1301989,,0000.0000,0000.0000
,,City (Small),,,,44.9556909,-72.1303989,,0000.0000,0000.0000
,,City (Small),,,,44.9542909,-72.1301989,,0000.0000,0000.0000
,,City (Small),,,,44.9542909,-72.1301989,,0000.0000,0000.0000
,,City (Small),,,,44.9540909,-72.1307989,,0000.0000,0000.0000
,,City (Small),,,,44.9539909,-72.1320989,,0000.0000,0000.0000
,,City (Small),,,,44.9540909,-72.1344989,,0000.0000,0000.0000
,,City (Small),,,,44.9532909,-72.1341989,,0000.0000,0000.0000
,,City (Small),,,,44.9678909,-72.1813989,,0000.0000,0000.0000
,,City (Small),,,,44.9523909,-72.1425989,,0000.0000,0000.0000
,,City (Small),,,,44.9533909,-72.1427989,,0000.0000,0000.0000
,,City (Small),,,,44.9528909,-72.1465989,,0000.0000,0000.0000
,,City (Small),,,,44.9523909,-72.1463989,,0000.0000,0000.0000
,,City (Small),,,,44.9514909,-72.1531989,,0000.0000,0000.0000
,,City (Small),,,,44.9521909,-72.1537989,,0000.0000,0000.0000
,,City (Small),,,,45.0050909,-72.0995989,,0000.0000,0000.0000
,,City (Small),,,,44.9537909,-72.1548989,,0000.0000,0000.0000
,,City (Small),,,,44.9512909,-72.1565989,,0000.0000,0000.0000
,,City (Small),,,,44.9519909,-72.1574989,,0000.0000,0000.0000
,,City (Small),,,,44.9519909,-72.1574989,,0000.0000,0000.0000
,,City (Small),,,,44.9511909,-72.1582989,,0000.0000,0000.0000
,,City (Small),,,,44.9519909,-72.1591989,,0000.0000,0000.0000
,,City (Small),,,,45.0041909,-72.0866989,,0000.0000,0000.0000
,,City (Small),,,,44.9993909,-72.1034989,,0000.0000,0000.0000
,,City (Small),,,,44.9993909,-72.1040989,,0000.0000,0000.0000
,,City (Small),,,,44.9480909,-72.1685989,,0000.0000,0000.0000
,,City (Small),,,,44.9532909,-72.1604989,,0000.0000,0000.0000
,,City (Small),,,,44.9492909,-72.1313989,,0000.0000,0000.0000
,,City (Small),,,,44.5530910,-72.2602989,,0000.0000,0000.0000
,,City (Small),,,,44.9471909,-72.1327989,,0000.0000,0000.0000
,,City (Small),,,,44.9542909,-72.1608989,,0000.0000,0000.0000
,,City (Small),,,,45.0014909,-72.1182989,,0000.0000,0000.0000
,,City (Small),,,,44.9353909,-72.1022989,,0000.0000,0000.0000
,,City (Small),,,,44.8353909,-71.9809989,,0000.0000,0000.0000
,,City (Small),,,,44.8494909,-71.9864989,,0000.0000,0000.0000
,,City (Small),,,,44.7505909,-72.1796989,,0000.0000,0000.0000
,,City (Small),,,,44.7060909,-72.1876989,,0000.0000,0000.0000
,,City (Small),,,,44.7058909,-72.1894989,,0000.0000,0000.0000
,,City (Small),,,,44.7286909,-72.2271989,,0000.0000,0000.0000
,,City (Small),,,,44.6846909,-72.2285989,,0000.0000,0000.0000
,,City (Small),,,,44.6872909,-72.2326989,,0000.0000,0000.0000
,,City (Small),,,,44.6743909,-72.2575989,,0000.0000,0000.0000
,,City (Small),,,,44.7059909,-72.1871989,,0000.0000,0000.0000
,,City (Small),,,,44.7060909,-72.1875989,,0000.0000,0000.0000
,,City (Small),,,,44.7060909,-72.1872989,,0000.0000,0000.0000
,,City (Small),,,,44.7060909,-72.1872989,,0000.0000,0000.0000
,,City (Small),,,,44.7048909,-72.1885989,,0000.0000,0000.0000
,,City (Small),,,,44.6826909,-72.1902989,,0000.0000,0000.0000
,,City (Small),,,,44.6748909,-72.2818989,,0000.0000,0000.0000
,,City (Small),,,,44.6744909,-72.2280989,,0000.0000,0000.0000
,,City (Small),,,,44.6257910,-72.3294988,,0000.0000,0000.0000
,,City (Small),,,,44.6115910,-72.3030989,,0000.0000,0000.0000
,,City (Small),,,,44.5807910,-72.2939989,,0000.0000,0000.0000
,,City (Small),,,,44.5718910,-72.2980989,,0000.0000,0000.0000
,,City (Small),,,,44.5718910,-72.2980989,,0000.0000,0000.0000
,,City (Small),,,,44.5657910,-72.2982989,,0000.0000,0000.0000
,,City (Small),,,,44.5758910,-72.2965989,,0000.0000,0000.0000
,,City (Small),,,,44.5976910,-72.2698989,,0000.0000,0000.0000
,,City (Small),,,,44.5805910,-72.2868989,,0000.0000,0000.0000
,,City (Small),,,,44.5805910,-72.2868989,,0000.0000,0000.0000
,,City (Small),,,,44.5448910,-72.2600989,,0000.0000,0000.0000
,,City (Small),,,,44.5755910,-72.2955989,,0000.0000,0000.0000
,,City (Small),,,,44.5505910,-72.2615989,,0000.0000,0000.0000
,,City (Small),,,,44.9730909,-72.0129989,,0000.0000,0000.0000
,,City (Small),,,,44.9969909,-72.6715987,,0000.0000,0000.0000
,,City (Small),,,,44.8465909,-72.2807988,,0000.0000,0000.0000
,,City (Small),,,,44.8072909,-72.2826988,,0000.0000,0000.0000
,,City (Small),,,,44.8036909,-72.2727989,,0000.0000,0000.0000
,,City (Small),,,,44.8568909,-72.2662988,,0000.0000,0000.0000
,,City (Small),,,,44.8596909,-72.2682988,,0000.0000,0000.0000
,,City (Small),,,,44.8011909,-72.2815988,,0000.0000,0000.0000
,,City (Small),,,,44.7874909,-72.2716989,,0000.0000,0000.0000
,,City (Small),,,,44.7878909,-72.3000988,,0000.0000,0000.0000
,,City (Small),,,,44.9475909,-72.4389988,,0000.0000,0000.0000
,,City (Small),,,,44.9479909,-72.4392988,,0000.0000,0000.0000
,,City (Small),,,,44.9526909,-72.4349988,,0000.0000,0000.0000
,,City (Small),,,,44.9370909,-72.4871988,,0000.0000,0000.0000
,,City (Small),,,,44.9315909,-72.4944988,,0000.0000,0000.0000
,,City (Small),,,,44.9284909,-72.5014988,,0000.0000,0000.0000
,,City (Small),,,,44.9284909,-72.5014988,,0000.0000,0000.0000
,,City (Small),,,,44.9284909,-72.5014988,,0000.0000,0000.0000
,,City (Small),,,,44.9284909,-72.5014988,,0000.0000,0000.0000
,,City (Small),,,,44.9284909,-72.5014988,,0000.0000,0000.0000
,,City (Small),,,,44.9376909,-72.5033988,,0000.0000,0000.0000
,,City (Small),,,,44.9376909,-72.5033988,,0000.0000,0000.0000
,,City (Small),,,,44.9376909,-72.5033988,,0000.0000,0000.0000
,,City (Small),,,,44.9376909,-72.5033988,,0000.0000,0000.0000
,,City (Small),,,,44.9388909,-72.5053988,,0000.0000,0000.0000
,,City (Small),,,,44.9896909,-72.5486987,,0000.0000,0000.0000
,,City (Small),,,,44.9283909,-72.5013988,,0000.0000,0000.0000
,,City (Small),,,,44.9410909,-72.4547988,,0000.0000,0000.0000
,,City (Small),,,,44.8137909,-72.4437988,,0000.0000,0000.0000
,,City (Small),,,,44.8013909,-72.4474988,,0000.0000,0000.0000
,,City (Small),,,,44.7939909,-72.4487988,,0000.0000,0000.0000
,,City (Small),,,,44.7934909,-72.4485988,,0000.0000,0000.0000
,,City (Small),,,,44.8052909,-72.4486988,,0000.0000,0000.0000
,,City (Small),,,,44.8152909,-72.4425988,,0000.0000,0000.0000
,,City (Small),,,,44.9154909,-72.0130989,,0000.0000,0000.0000
,,City (Small),,,,44.9123909,-71.9828989,,0000.0000,0000.0000
,,City (Small),,,,44.9117909,-71.9828989,,0000.0000,0000.0000
,,City (Small),,,,44.9130909,-72.0145989,,0000.0000,0000.0000
,,City (Small),,,,44.9247909,-72.0528989,,0000.0000,0000.0000
,,City (Small),,,,44.9362909,-72.2107989,,0000.0000,0000.0000
,,City (Small),,,,44.9300909,-72.2630988,,0000.0000,0000.0000
,,City (Small),,,,44.9357909,-72.2084989,,0000.0000,0000.0000
,,City (Small),,,,44.9472909,-72.1746989,,0000.0000,0000.0000
,,City (Small),,,,44.9538909,-72.2017989,,0000.0000,0000.0000
,,City (Small),,,,44.9359909,-72.2095989,,0000.0000,0000.0000
,,City (Small),,,,44.9355909,-72.2093989,,0000.0000,0000.0000
,,City (Small),,,,44.9474909,-72.1715989,,0000.0000,0000.0000
,,City (Small),,,,44.9474909,-72.1715989,,0000.0000,0000.0000
,,City (Small),,,,44.9354909,-72.2096989,,0000.0000,0000.0000
,,City (Small),,,,44.9555909,-72.2007989,,0000.0000,0000.0000
,,City (Small),,,,44.9358909,-72.2098989,,0000.0000,0000.0000
,,City (Small),,,,44.9358909,-72.2098989,,0000.0000,0000.0000
,,City (Small),,,,44.9389909,-72.2059989,,0000.0000,0000.0000
,,City (Small),,,,44.9310909,-72.2887988,,0000.0000,0000.0000
,,City (Small),,,,44.9072909,-72.1902989,,0000.0000,0000.0000
,,City (Small),,,,44.9430909,-72.2302989,,0000.0000,0000.0000
,,City (Small),,,,44.9365909,-72.2054989,,0000.0000,0000.0000
,,City (Small),,,,44.9322909,-72.2425989,,0000.0000,0000.0000
,,City (Small),,,,44.9354909,-72.2225989,,0000.0000,0000.0000
,,City (Small),,,,44.9352909,-72.2131989,,0000.0000,0000.0000
,,City (Small),,,,44.9388909,-72.1983989,,0000.0000,0000.0000
,,City (Small),,,,44.9509909,-72.3072988,,0000.0000,0000.0000
,,City (Small),,,,44.9509909,-72.1584989,,0000.0000,0000.0000
,,City (Small),,,,44.9338909,-72.2262989,,0000.0000,0000.0000
,,City (Small),,,,44.9293909,-72.2187989,,0000.0000,0000.0000
,,City (Small),,,,44.9432909,-72.1930989,,0000.0000,0000.0000
,,City (Small),,,,44.9398909,-72.2051989,,0000.0000,0000.0000
,,City (Small),,,,44.9327909,-72.1933989,,0000.0000,0000.0000
,,City (Small),,,,44.9362909,-72.2095989,,0000.0000,0000.0000
,,City (Small),,,,44.9271909,-72.2251989,,0000.0000,0000.0000
,,City (Small),,,,44.9419909,-72.1950989,,0000.0000,0000.0000
,,City (Small),,,,44.9248909,-72.2005989,,0000.0000,0000.0000
,,City (Small),,,,44.9391909,-72.2036989,,0000.0000,0000.0000
,,City (Small),,,,44.9364909,-72.2086989,,0000.0000,0000.0000
,,City (Small),,,,44.9340909,-72.2094989,,0000.0000,0000.0000
