Label,Type,Symbol,Description,Name on GPS,Comment,Easting,Northing,Zone,Elevation,Distance to Active Point,Bearing
,,City (Small),,,,263685.531,4969280.840,19T,,0000.0000,0000.0000
,,City (Small),,,,719176.282,4974311.206,18T,,0000.0000,0000.0000
,,City (Small),,,,716082.562,4971336.842,18T,,0000.0000,0000.0000
,,City (Small),,,,715848.493,4971006.446,18T,,0000.0000,0000.0000
,,City (Small),,,,709350.611,4944569.860,18T,,0000.0000,0000.0000
,,City (Small),,,,708470.662,4945753.479,18T,,0000.0000,0000.0000
,,City (Small),,,,707645.611,4947461.588,18T,,0000.0000,0000.0000
,,City (Small),,,,708440.011,4945719.131,18T,,0000.0000,0000.0000
,,City (Small),,,,707576.897,4947870.808,18T,,0000.0000,0000.0000
,,City (Small),,,,704699.153,4946010.994,18T,,0000.0000,0000.0000
,,City (Small),,,,710828.743,4946486.046,18T,,0000.0000,0000.0000
,,City (Small),,,,708380.192,4945850.639,18T,,0000.0000,0000.0000
,,City (Small),,,,708325.277,4945337.362,18T,,0000.0000,0000.0000
,,City (Small),,,,708095.817,4949255.235,18T,,0000.0000,0000.0000
,,City (Small),,,,708851.304,4945276.497,18T,,0000.0000,0000.0000
,,City (Small),,,,705787.591,4951216.126,18T,,0000.0000,0000.0000
,,City (Small),,,,707487.103,4947701.128,18T,,0000.0000,0000.0000
,,City (Small),,,,708941.607,4950828.214,18T,,0000.0000,0000.0000
,,City (Small),,,,708949.532,4950828.471,18T,,0000.0000,0000.0000
,,City (Small),,,,717336.304,4936159.258,18T,,0000.0000,0000.0000
,,City (Small),,,,727547.636,4979474.821,18T,,0000.0000,0000.0000
,,City (Small),,,,730263.013,4978448.576,18T,,0000.0000,0000.0000
,,City (Small),,,,729182.019,4980167.182,18T,,0000.0000,0000.0000
,,City (Small),,,,727050.043,4983694.883,18T,,0000.0000,0000.0000
,,City (Small),,,,730589.029,4985834.961,18T,,0000.0000,0000.0000
,,City (Small),,,,726555.959,4982264.761,18T,,0000.0000,0000.0000
,,City (Small),,,,726357.577,4982068.646,18T,,0000.0000,0000.0000
,,City (Small),,,,726357.577,4982068.646,18T,,0000.0000,0000.0000
,,City (Small),,,,726342.982,4982034.762,18T,,0000.0000,0000.0000
,,City (Small),,,,726364.266,4981879.799,18T,,0000.0000,0000.0000
,,City (Small),,,,726364.266,4981879.799,18T,,0000.0000,0000.0000
,,City (Small),,,,726317.726,4981855.905,18T,,0000.0000,0000.0000
,,City (Small),,,,726215.577,4981841.166,18T,,0000.0000,0000.0000
,,City (Small),,,,726025.876,4981845.577,18T,,0000.0000,0000.0000
